Wall time,Step,Value
1748391188.3970056,2359296,-53.797821044921875
1748391208.4772236,2375680,-59.80842208862305
1748391228.7264583,2392064,-84.79415893554688
1748391248.9638877,2408448,-85.11737823486328
1748391269.4364586,2424832,-105.31066131591797
1748391289.5196757,2441216,-109.09628295898438
1748391309.490673,2457600,-86.80650329589844
1748391329.679766,2473984,-83.64271545410156
1748391349.8530314,2490368,-98.7594223022461
1748391370.0470424,2506752,-93.39307403564453
1748391390.3279,2523136,-99.49900817871094
1748391410.3957412,2539520,-100.18782043457031
1748391430.5225086,2555904,-95.77690887451172
1748391450.7107997,2572288,-91.37081146240234
1748391471.0271175,2588672,-89.12841796875
1748391491.0009658,2605056,-102.6880111694336
1748391511.2868123,2621440,-68.81044006347656
1748391531.3534229,2637824,-74.22453308105469
1748391551.464132,2654208,-85.07044219970703
1748391572.0875137,2670592,-68.6305160522461
1748391592.1788924,2686976,-82.69206237792969
1748391612.2549627,2703360,-75.2952651977539
1748391632.4738646,2719744,-69.87132263183594
1748391652.5407317,2736128,-77.29898834228516
1748391672.9092004,2752512,-88.70854187011719
1748391692.955478,2768896,-77.86843872070312
1748391712.860493,2785280,-84.0698013305664
1748391733.0652452,2801664,-77.02050018310547
1748391753.2011626,2818048,-53.658573150634766
1748391773.636818,2834432,-74.19113159179688
1748391793.9257605,2850816,-74.57157897949219
1748391814.0594325,2867200,-61.10038375854492
1748391834.277266,2883584,-73.3912582397461
1748391854.4826584,2899968,-73.20608520507812
1748391875.0800445,2916352,-87.89936065673828
1748391895.1641114,2932736,-73.95844268798828
1748391915.1818755,2949120,-51.38062286376953
1748391936.9784303,2965504,-72.58280944824219
1748391957.8103437,2981888,-83.79666900634766
1748391977.961681,2998272,-67.26531982421875
1748391998.7332668,3014656,-67.53624725341797
1748392018.8155863,3031040,-66.17765045166016
1748392038.9930632,3047424,-68.21996307373047
1748392058.954566,3063808,-70.17584228515625
1748392079.246612,3080192,-72.17092895507812
1748392099.3546634,3096576,-51.63875198364258
1748392119.49426,3112960,-80.67218780517578
1748392139.4825497,3129344,-64.2628173828125
1748392159.6312108,3145728,-58.235408782958984
1748392179.782927,3162112,-59.72536087036133
1748392200.033071,3178496,-74.2957763671875
1748392220.1100278,3194880,-72.16665649414062
1748392240.3458931,3211264,-61.36458969116211
1748392262.3383074,3227648,-52.81467056274414
1748392285.0546386,3244032,-65.90386962890625
1748392309.8786643,3260416,-60.88747787475586
1748392330.0461624,3276800,-42.45209503173828
1748392352.5489912,3293184,-59.72500228881836
1748392376.1094844,3309568,-61.281959533691406
1748392396.8295045,3325952,-63.0521125793457
1748392417.0667672,3342336,-60.341819763183594
1748392437.2913363,3358720,-65.80044555664062
1748392457.964299,3375104,-62.106380462646484
1748392478.176576,3391488,-66.8575668334961
1748392498.381384,3407872,-80.05863952636719
1748392519.138296,3424256,-78.02035522460938
1748392539.311436,3440640,-62.826114654541016
1748392559.4379005,3457024,-73.10873413085938
1748392579.7625759,3473408,-69.26861572265625
1748392599.7962666,3489792,-66.81670379638672
1748392619.878687,3506176,-50.333709716796875
1748392640.4552233,3522560,-58.78697967529297
1748392660.5305526,3538944,-67.4543228149414
